Winner,HeightDif,ReachDif,AgeDif,LossDif,SigStrDif,AvgTDDif,TotalRoundDif,TotalTitleBoutDif,WeightDif,AvgSigStrPctDif,AvgTDPctDif,AvgSubAttDif,WinsDif,OddsDif,RankDif
0,7.62,0.0,-2.0,2.0,-3.5,0.7100000000000004,-21.0,3.0,0.0,-0.13,-0.11000000000000004,-0.2,4.0,0.0,-2.0
1,-2.54,-2.54,6.0,-3.0,-1.5699999999999994,2.63,5.0,0.0,0.0,0.02999999999999997,0.36,0.0,1.0,-368.0,0
0,5.08,17.78,-2.0,3.0,-0.5299999999999998,1.0,-6.0,0.0,0.0,0.06000000000000005,0.15000000000000002,0.6000000000000001,1.0,-344.0,0
1,0.0,10.16,6.0,1.0,6.0,0.0,-3.0,0.0,-10.0,0.2,0.0,0.0,0.0,510.0,0
1,7.62,15.24,3.0,1.0,3.53,0.55,-13.0,0.0,-5.0,-0.10999999999999999,0.6,0.2,4.0,420.0,0
0,-5.08,-12.7,-1.0,-1.0,2.1499999999999995,-1.37,5.0,0.0,0.0,0.06,-0.55,-0.3,-1.0,250.0,0
1,-2.54,-5.08,6.0,5.0,36.4615,0.6923,-27.0,0.0,0.0,0.468,0.224,0.3846,8.0,-300.0,0
1,2.54,2.54,-11.0,0.0,5.833300000000001,0.6667000000000001,-12.0,-1.0,0.0,-0.05199999999999999,0.04299999999999998,-0.16670000000000001,4.0,-975.0,0
0,2.54,2.54,0.0,0.0,15.5,0.0,2.0,0.0,-20.0,0.065,0.33499999999999996,0.0,0.0,-345.0,0
0,-7.62,-5.08,0.0,-1.0,-0.7999999999999998,-1.12,1.0,0.0,0.0,-0.040000000000000036,-0.3400000000000001,2.0,0.0,-352.0,0
1,-2.54,2.54,-6.0,-1.0,0.0,2.0,3.0,0.0,0.0,0.20700000000000002,0.0,0.0,0.0,470.0,0
1,-2.54,10.16,1.0,1.0,3.19,1.64,-8.0,0.0,-10.0,0.49,0.66,0.0,2.0,-296.0,0
0,2.54,-7.62,3.0,7.0,42.6875,0.4375,-40.0,-1.0,-10.0,0.339,0.328,0.0625,9.0,-310.0,-15.0
0,7.62,2.54,5.0,-1.0,8.25,-0.20830000000000004,2.0,-1.0,-5.0,0.128,0.10499999999999998,0.41669999999999996,-1.0,-260.0,1.0
1,10.16,0.0,6.0,-1.0,0.4099999999999997,2.43,-3.0,0.0,0.0,-0.019999999999999962,0.45,-0.3,2.0,-1450.0,0
0,2.54,2.54,3.0,-1.0,14.999999999999996,-0.7999999999999999,-2.0,0.0,0.0,0.15599999999999997,-0.16799999999999998,0.0,1.0,-310.0,0
1,0.0,-2.54,-2.0,2.0,-18.6667,0.0,-5.0,-1.0,0.0,-0.065,-0.25,-0.6667000000000001,2.0,-500.0,0
1,-15.24,-187.96,0.0,-1.0,1.04,0.51,-6.0,0.0,0.0,0.08000000000000002,0.5,0.0,3.0,-755.0,0
1,-7.62,5.08,5.0,-1.0,0.1800000000000006,0.5099999999999998,9.0,0.0,0.0,-0.020000000000000018,0.37,1.7,1.0,-730.0,0
0,-2.54,0.0,-10.0,0.0,-1.1606999999999985,0.1875,0.0,3.0,0.0,0.045999999999999985,-0.09700000000000003,0.3304,2.0,-345.0,-7.0
0,12.7,25.4,-4.0,3.0,-0.8200000000000003,0.8,-7.0,0.0,-10.0,0.19,1.0,-3.5,0.0,-300.0,0
0,-5.08,2.54,7.0,1.0,24.5,0.5,-6.0,0.0,15.0,0.445,0.165,1.5,1.0,300.0,0
0,-2.54,-10.16,-4.0,-2.0,-0.19999999999999973,2.66,19.0,-5.0,0.0,0.020000000000000018,0.15999999999999998,0.8,-3.0,375.0,0
